Ticker,Date,Spot_Rate,Qualifier,Qualifier_Description
index,,data_Value,qualifier,qualifier_Description
FBXD,2023-07-27,511.68,NAWC,North America West China
FBXD,2023-07-27,560.42,NAEC,North America East China
FBXD,2023-07-27,397.09,MEDC,Mediterranean China
FBXD,2023-07-27,532.63,NAEE,North America East Europe
FBXD,2023-07-27,1260.43,CNER,China North Europe
FBXD,2023-07-27,1069.65,PANA,China North America East - West Spread
FBXD,2023-07-27,2636,ESAW,Europe South America West
FBXD,2023-07-26,2600.38,CNAE,China North America East
FBXD,2023-07-26,1688,ENAE,Europe North America East
FBXD,2023-07-26,1179.71,ESAE,Europe South America East
FBXD,2023-07-26,1319.98,GLBL,Global
FBXD,2023-07-26,2644,ESAW,Europe South America West
FBXD,2023-07-26,1518.35,CNAW,China North America West
FBXD,2023-07-26,384.66,NERC,North Europe China
FBXD,2023-07-26,1996.52,CMED,China Mediterranean
FBXD,2023-07-26,535.59,NAWC,North America West China
FBXD,2023-07-26,538.17,NAEE,North America East Europe
FBXD,2023-07-26,1260.66,CNER,China North Europe
FBXD,2023-07-26,564.45,NAEC,North America East China
FBXD,2023-07-26,398.32,MEDC,Mediterranean China
FBXD,2023-07-26,1082.03,PANA,China North America East - West Spread
FBXD,2023-07-25,2603.13,CNAE,China North America East
FBXD,2023-07-25,386.48,NERC,North Europe China
FBXD,2023-07-25,2016.85,CMED,China Mediterranean
FBXD,2023-07-25,1178.26,ESAE,Europe South America East
FBXD,2023-07-25,1333.24,GLBL,Global
FBXD,2023-07-25,1688,ENAE,Europe North America East
FBXD,2023-07-25,1082.54,PANA,China North America East - West Spread
FBXD,2023-07-25,1520.59,CNAW,China North America West
FBXD,2023-07-25,590.84,NAWC,North America West China
FBXD,2023-07-25,538.17,NAEE,North America East Europe
FBXD,2023-07-25,406.23,MEDC,Mediterranean China
FBXD,2023-07-25,628.72,NAEC,North America East China
FBXD,2023-07-25,1267.94,CNER,China North Europe
FBXD,2023-07-25,2652,ESAW,Europe South America West
FBXD,2023-07-24,2609.21,CNAE,China North America East
FBXD,2023-07-24,1968.55,CMED,China Mediterranean
FBXD,2023-07-24,391.19,NERC,North Europe China
FBXD,2023-07-24,1171.79,ESAE,Europe South America East
FBXD,2023-07-24,1688,ENAE,Europe North America East
FBXD,2023-07-24,2652,ESAW,Europe South America West
FBXD,2023-07-24,1334.06,GLBL,Global
FBXD,2023-07-24,1538.67,CNAW,China North America West
FBXD,2023-07-24,595.28,NAWC,North America West China
FBXD,2023-07-24,542.59,NAEE,North America East Europe
FBXD,2023-07-24,404.17,MEDC,Mediterranean China
FBXD,2023-07-24,1268.3,CNER,China North Europe
FBXD,2023-07-24,628.72,NAEC,North America East China
FBXD,2023-07-24,1070.54,PANA,China North America East - West Spread
FBXD,2023-07-21,398.84,NERC,North Europe China
FBXD,2023-07-21,1316.69,GLBL,Global
FBXD,2023-07-21,1152.49,ESAE,Europe South America East
FBXD,2023-07-21,1688,ENAE,Europe North America East
FBXD,2023-07-21,2673,ESAW,Europe South America West
FBXD,2023-07-21,1438.3,CNAW,China North America West
FBXD,2023-07-21,1965.78,CMED,China Mediterranean
FBXD,2023-07-21,595.28,NAWC,North America West China
FBXD,2023-07-21,2604.32,CNAE,China North America East
FBXD,2023-07-21,406.12,MEDC,Mediterranean China
FBXD,2023-07-21,1283.03,CNER,China North Europe
FBXD,2023-07-21,546.49,NAEE,North America East Europe
FBXD,2023-07-21,628.72,NAEC,North America East China
FBXD,2023-07-21,1166.02,PANA,China North America East - West Spread
FBXD,2023-07-20,2604.32,CNAE,China North America East
FBXD,2023-07-20,1965.78,CMED,China Mediterranean
FBXD,2023-07-20,398.54,NERC,North Europe China
FBXD,2023-07-20,1152.49,ESAE,Europe South America East
FBXD,2023-07-20,1688,ENAE,Europe North America East
FBXD,2023-07-20,1316.56,GLBL,Global
FBXD,2023-07-20,1438.3,CNAW,China North America West
FBXD,2023-07-20,595.28,NAWC,North America West China
FBXD,2023-07-20,406.12,MEDC,Mediterranean China
FBXD,2023-07-20,546.49,NAEE,North America East Europe
FBXD,2023-07-20,1283.88,CNER,China North Europe
FBXD,2023-07-20,620.53,NAEC,North America East China
FBXD,2023-07-20,2679,ESAW,Europe South America West
FBXD,2023-07-20,1166.02,PANA,China North America East - West Spread
FBXD,2023-07-19,1944.42,CMED,China Mediterranean
FBXD,2023-07-19,398.69,NERC,North Europe China
FBXD,2023-07-19,1165.32,ESAE,Europe South America East
FBXD,2023-07-19,1688,ENAE,Europe North America East
FBXD,2023-07-19,1280.55,GLBL,Global
FBXD,2023-07-19,1186.58,PANA,China North America East - West Spread
FBXD,2023-07-19,1318.87,CNAW,China North America West
FBXD,2023-07-19,595.28,NAWC,North America West China
FBXD,2023-07-19,2505.45,CNAE,China North America East
FBXD,2023-07-19,620.53,NAEC,North America East China
FBXD,2023-07-19,546.49,NAEE,North America East Europe
FBXD,2023-07-19,1285.11,CNER,China North Europe
FBXD,2023-07-19,2677,ESAW,Europe South America West
FBXD,2023-07-19,407.98,MEDC,Mediterranean China
FBXD,2023-07-18,2447.12,CNAE,China North America East
FBXD,2023-07-18,1952.26,CMED,China Mediterranean
FBXD,2023-07-18,1267.53,GLBL,Global
FBXD,2023-07-18,1165.32,ESAE,Europe South America East
FBXD,2023-07-18,1688,ENAE,Europe North America East
FBXD,2023-07-18,1316.92,CNAW,China North America West
FBXD,2023-07-18,1285.57,CNER,China North Europe
FBXD,2023-07-18,398.84,NERC,North Europe China
FBXD,2023-07-18,542.11,NAWC,North America West China
FBXD,2023-07-18,410.31,MEDC,Mediterranean China
FBXD,2023-07-18,546.49,NAEE,North America East Europe
FBXD,2023-07-18,576.8,NAEC,North America East China
FBXD,2023-07-18,1130.2,PANA,China North America East - West Spread
FBXD,2023-07-18,2675,ESAW,Europe South America West
FBXD,2023-07-17,1952.37,CMED,China Mediterranean
FBXD,2023-07-17,1165.32,ESAE,Europe South America East
FBXD,2023-07-17,1688,ENAE,Europe North America East
FBXD,2023-07-17,1117.26,PANA,China North America East - West Spread
FBXD,2023-07-17,1266.97,GLBL,Global
FBXD,2023-07-17,398.84,NERC,North Europe China
FBXD,2023-07-17,1316.92,CNAW,China North America West
FBXD,2023-07-17,542.11,NAWC,North America West China
FBXD,2023-07-17,1285.57,CNER,China North Europe
FBXD,2023-07-17,2434.18,CNAE,China North America East
FBXD,2023-07-17,546.05,NAEE,North America East Europe
FBXD,2023-07-17,379,MEDC,Mediterranean China
FBXD,2023-07-17,569.03,NAEC,North America East China
FBXD,2023-07-17,2778,ESAW,Europe South America West
FBXD,2023-07-14,2375.8,CNAE,China North America East
FBXD,2023-07-14,398.69,NERC,North Europe China
FBXD,2023-07-14,1688,ENAE,Europe North America East
FBXD,2023-07-14,1165.32,ESAE,Europe South America East
FBXD,2023-07-14,1263.71,GLBL,Global
FBXD,2023-07-14,2639,ESAW,Europe South America West
FBXD,2023-07-14,1340.88,CNAW,China North America West
FBXD,2023-07-14,1964.22,CMED,China Mediterranean
FBXD,2023-07-14,542.11,NAWC,North America West China
FBXD,2023-07-14,549.13,NAEE,North America East Europe
FBXD,2023-07-14,379,MEDC,Mediterranean China
FBXD,2023-07-14,1285.57,CNER,China North Europe
FBXD,2023-07-14,582.71,NAEC,North America East China
FBXD,2023-07-14,1034.92,PANA,China North America East - West Spread
FBXD,2023-07-13,2376.24,CNAE,China North America East
FBXD,2023-07-13,399,NERC,North Europe China
FBXD,2023-07-13,1165.32,ESAE,Europe South America East
FBXD,2023-07-13,1688,ENAE,Europe North America East
FBXD,2023-07-13,1263.87,GLBL,Global
FBXD,2023-07-13,1964.22,CMED,China Mediterranean
FBXD,2023-07-13,1341.29,CNAW,China North America West
FBXD,2023-07-13,542.11,NAWC,North America West China
FBXD,2023-07-13,379,MEDC,Mediterranean China
FBXD,2023-07-13,1285.57,CNER,China North Europe
FBXD,2023-07-13,549.13,NAEE,North America East Europe
FBXD,2023-07-13,582.71,NAEC,North America East China
FBXD,2023-07-13,2639,ESAW,Europe South America West
FBXD,2023-07-13,1034.95,PANA,China North America East - West Spread
FBXD,2023-07-12,2376.24,CNAE,China North America East
FBXD,2023-07-12,1165.32,ESAE,Europe South America East
FBXD,2023-07-12,1688,ENAE,Europe North America East
FBXD,2023-07-12,1264.11,GLBL,Global
FBXD,2023-07-12,1034.78,PANA,China North America East - West Spread
FBXD,2023-07-12,1341.46,CNAW,China North America West
FBXD,2023-07-12,542.11,NAWC,North America West China
FBXD,2023-07-12,399,NERC,North Europe China
FBXD,2023-07-12,582.71,NAEC,North America East China
FBXD,2023-07-12,556.7,NAEE,North America East Europe
FBXD,2023-07-12,379,MEDC,Mediterranean China
FBXD,2023-07-12,1285.57,CNER,China North Europe
FBXD,2023-07-12,2639,ESAW,Europe South America West
FBXD,2023-07-12,1964.22,CMED,China Mediterranean
FBXD,2023-07-11,399,NERC,North Europe China
FBXD,2023-07-11,1832,ENAE,Europe North America East
FBXD,2023-07-11,1278.77,GLBL,Global
FBXD,2023-07-11,1178.26,ESAE,Europe South America East
FBXD,2023-07-11,1034.78,PANA,China North America East - West Spread
FBXD,2023-07-11,1341.46,CNAW,China North America West
FBXD,2023-07-11,2376.24,CNAE,China North America East
FBXD,2023-07-11,2037.58,CMED,China Mediterranean
FBXD,2023-07-11,542.11,NAWC,North America West China
FBXD,2023-07-11,552.83,NAEE,North America East Europe
FBXD,2023-07-11,582.71,NAEC,North America East China
FBXD,2023-07-11,379,MEDC,Mediterranean China
FBXD,2023-07-11,1285.57,CNER,China North Europe
FBXD,2023-07-11,2639,ESAW,Europe South America West
FBXD,2023-07-10,399,NERC,North Europe China
FBXD,2023-07-10,2037.58,CMED,China Mediterranean
FBXD,2023-07-10,1280.23,GLBL,Global
FBXD,2023-07-10,1181.17,ESAE,Europe South America East
